ID	GroupID	Level	Variation	ColorList	Block1	Block2	Block3	Block4
1366	337	15	2	Red,Red,Red,Red,White,Yellow	2:XXX OXO XXX=Red, Red	3:XOX XOX XXX=Red	4:OXX XXX XOX=White	1:OXX XXX XOO=Red, Yellow
1367	337	15	3	Red,Red,Red,Red,White,Yellow	2:XXX OXO XXX=Red, Red	3:XOX XOX XXX=Red	4:XOX XXX XXO=White, Yellow	1:OOX XXX XXO=Red
1368	338	15	1	Red,Red,Red,White,White,Yellow	2:XXX OXO XXX=Red, Red	3:XXX XOO XXX=Red, Yellow	1:OXX XXX XOO=White, White	4:XXO OXX XXX=
1369	338	15	2	Red,Red,Red,White,White,Yellow	2:XXX OXO XXX=Red, Red	3:XOX XOX XXX=Red	1:OXX XXX XOO=White, White	4:OXX XXX XOX=Yellow
1370	338	15	3	Red,Red,Red,White,White,Yellow	2:XXX OXO XXX=Red, Red	3:XOX XOX XXX=Red	1:OOX XXX XXO=White, White, Yellow	4:XXO OXX XXX=
1371	338	15	4	Red,Red,Red,White,White,Yellow	4:XXX XXO OXX=Red, White	3:XXX XOX XOX=Red, White	2:XOX XXX XOX=Yellow	1:OOX XXX XXO=Red
1372	339	15	1	Red,Red,Red,White,Yellow,Yellow	4:OXX XXO XXX=Red, Yellow	3:XXX XOX XOX=Red, White	2:XOX XXX XOX=Yellow	1:OOX XXX XXO=Red
1373	339	15	2	Red,Red,Red,White,Yellow,Yellow	4:XXX XXO OXX=Red, White	3:XXX XOO XXX=Red, Yellow	2:XOX XXX XOX=Yellow	1:OOX XXX XXO=Red
1374	339	15	3	Red,Red,Red,White,Yellow,Yellow	4:XXX XXO OXX=Red, White	3:XOX XOX XXX=Red	2:XOX XXX XOX=Yellow	1:OXX XXX XOO=Red, Yellow
1375	340	15	1	Red,Red,White,White,White,Yellow	4:XXX XXO OXX=Red, White	3:XOX XOX XXX=Red	1:OXX XXX XOO=White, White	2:XOX XXX XOX=Yellow
1376	341	15	1	Red,Red,White,White,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	2:XOX XXX XOX=White	4:XXO XXX XOX=Red	3:XOX XOX XXX=White
1377	341	15	2	Red,Red,White,White,Yellow,Yellow	4:XXX XXO OXX=Red, White	2:XOX XXX XOX=White	3:XOX XOX XXX=Yellow	1:OXX XXX XOO=Red, Yellow
1378	341	15	3	Red,Red,White,White,Yellow,Yellow	4:OXX XXO XXX=Red, Yellow	3:XOX XOX XXX=Red	1:OXX XXX XOO=White, White	2:XOX XXX XOX=Yellow
1379	341	15	4	Red,Red,White,White,Yellow,Yellow	4:XOX XXX OXX=White	3:XXX XOX XOX=Red, White	2:XOX XXX XOX=Yellow	1:OXX XXX XOO=Red, Yellow
1380	342	15	1	Red,Red,White,Yellow,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	2:XOX XXX XOX=White	3:XOX XOX XXX=Yellow	4:XXX OXX XXO=Red
1381	342	15	2	Red,Red,White,Yellow,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	2:XXX OXO XXX=Yellow	4:XXO XXX XOX=Red	3:XOX XOX XXX=White
1382	342	15	3	Red,Red,White,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	3:XXX XOX XOX=Red, White	2:XOX XXX XOX=Yellow	4:XXX OXX XXO=Red
1383	342	15	4	Red,Red,White,Yellow,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	3:XXX XOX XOX=Red, White	2:XOX XXX XOX=Yellow	4:XXO OXX XXX=
1384	342	15	5	Red,Red,White,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	3:XXX XOX XOX=Red, White	4:XXO XXX XOX=Red	2:XOX XXX XOX=Yellow
1385	342	15	6	Red,Red,White,Yellow,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	3:XOX XOX XXX=Red	4:OXX XXX XOX=White	2:XOX XXX XOX=Yellow
1386	342	15	7	Red,Red,White,Yellow,Yellow,Yellow	4:OXX XXO XXX=Red, Yellow	2:XOX XXX XOX=White	3:XOX XOX XXX=Yellow	1:OXX XXX XOO=Red, Yellow
1387	342	15	8	Red,Red,White,Yellow,Yellow,Yellow	4:XXX XXO OXX=Red, White	2:XXX OXO XXX=Yellow	3:XOX XOX XXX=Yellow	1:OXX XXX XOO=Red, Yellow
1388	342	15	9	Red,Red,White,Yellow,Yellow,Yellow	4:XOX XXX OXX=White	3:XXX XOO XXX=Red, Yellow	2:XOX XXX XOX=Yellow	1:OXX XXX XOO=Red, Yellow
1389	342	15	10	Red,Red,White,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	3:XXX XOX XOX=Red, White	2:XOX XXX XOX=Yellow	1:OXX XXX XOO=Red, Yellow
1390	343	15	1	Red,White,White,White,White,Yellow	4:OXX XXO XXX=Red, Yellow	2:XOX XXX XOX=White	1:OXX XXX XOO=White, White	3:XOX XOX XXX=White
1391	343	15	2	Red,White,White,White,White,Yellow	4:XXX XXO OXX=Red, White	2:XXX OXO XXX=Yellow	1:OXX XXX XOO=White, White	3:XOX XOX XXX=White
1392	343	15	3	Red,White,White,White,White,Yellow	4:XOX XXX OXX=White	3:XXX XOX XOX=Red, White	1:OXX XXX XOO=White, White	2:XOX XXX XOX=Yellow
1393	344	15	1	Red,White,White,White,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	2:XOX XXX XOX=White	4:OXX XXX XOX=White	3:XOX XOX XXX=White
1394	344	15	2	Red,White,White,White,Yellow,Yellow	4:OXX XXO XXX=Red, Yellow	2:XXX OXO XXX=Yellow	1:OXX XXX XOO=White, White	3:XOX XOX XXX=White
1395	344	15	3	Red,White,White,White,Yellow,Yellow	4:XOX XXX OXX=White	3:XXX XOO XXX=Red, Yellow	1:OXX XXX XOO=White, White	2:XOX XXX XOX=Yellow
1396	344	15	4	Red,White,White,White,Yellow,Yellow	4:XOX XXX OXX=White	3:XOX XOX XXX=Red	1:OOX XXX XXO=White, White, Yellow	2:XOX XXX XOX=Yellow
1397	344	15	5	Red,White,White,White,Yellow,Yellow	4:XOX XXX XXO=Yellow	3:XXX XOX XOX=Red, White	1:OXX XXX XOO=White, White	2:XOX XXX XOX=Yellow
1398	345	15	1	Red,White,White,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XOX XXX XOX=White	4:XXO XXX XOX=Red	3:XXX XOX XOX=White, Yellow
1399	345	15	2	Red,White,White,Yellow,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	2:XXX OXO XXX=Yellow	4:OXX XXX XOX=White	3:XOX XOX XXX=White
1400	345	15	3	Red,White,White,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	3:XXX XOX XOX=Red, White	4:OXX XXX XOX=White	2:XOX XXX XOX=Yellow
1401	345	15	4	Red,White,White,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	3:XXX XOO XXX=Red, Yellow	1:OXX XXX XOO=White, White	2:XOX XXX XOX=Yellow
1402	345	15	5	Red,White,White,Yellow,Yellow,Yellow	4:XOX XXX XXO=Yellow	3:XOX XOX XXX=Red	1:OOX XXX XXO=White, White, Yellow	2:XOX XXX XOX=Yellow
1403	346	15	1	Red,White,Yellow,Yellow,Yellow,Yellow	1:OXX OXX XXO=Red, Yellow, Yellow	2:XOX XXX XOX=White	3:XOX XOX XXX=Yellow	4:OXX XXX XOX=Yellow
1404	346	15	2	Red,White,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	2:XXX OXO XXX=Yellow	4:XXO XXX XOX=Red	3:XXX XOX XOX=White, Yellow
1405	346	15	3	Red,White,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	3:XXX XOX XOX=Red, White	2:XOX XXX XOX=Yellow	4:OXX XXX XOX=Yellow
1406	346	15	4	Red,White,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	3:XXX XOO XXX=Red, Yellow	4:OXX XXX XOX=White	2:XOX XXX XOX=Yellow
1407	346	15	5	Red,White,Yellow,Yellow,Yellow,Yellow	1:OOX XXX XXO=Yellow, Yellow	3:XOX XOX XXX=Red	4:XOX XXX XXO=White, Yellow	2:XOX XXX XOX=Yellow
1408	347	16	1	Blue,Blue,Green,Red,White	1:XXO OXX OXX=Blue, Red, White	4:XXX OXX XXO=Green	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
1409	347	16	2	Blue,Blue,Green,Red,White	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	4:OXX XXX XOX=White	1:XXO XXO OXX=Blue, Green
1410	347	16	3	Blue,Blue,Green,Red,White	2:XOX XXX XOX=Blue	4:XXX OXX XXO=Green	1:XXO XXX OOX=Blue, Red	3:XOX XOX XXX=White
1411	347	16	4	Blue,Blue,Green,Red,White	2:XOX XXX XOX=Blue	4:OXX XXX XOX=Green, White	3:XXX XOX XOX=	1:OXX XXO XXO=Blue, Red
1412	347	16	5	Blue,Blue,Green,Red,White	2:XOX XXX XOX=Blue	4:XXO XXX XOX=Blue, White	3:XXX XOO XXX=Green	1:OOX XXX XXO=Red
1413	347	16	6	Blue,Blue,Green,Red,White	3:XXX XOX XOX=Blue, Green	2:XOX XXX XOX=White	1:XXO XXX OOX=Blue, Red	4:XXO OXX XXX=
1414	347	16	7	Blue,Blue,Green,Red,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	1:XXO XXX OOX=Blue, Red	4:OXX XXO XXX=Blue
1415	347	16	8	Blue,Blue,Green,Red,White	4:XXO XXX XOX=Blue, Blue	2:XOX XXX XOX=White	3:XXX XOO XXX=Green	1:OOX XXX XXO=Red
1416	347	16	9	Blue,Blue,Green,Red,White	4:XXO OXX XXX=Blue, Red	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:XXO XXO OXX=Blue, Green
1417	348	16	1	Blue,Blue,Green,Red,Yellow	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	4:XOX XXX OXX=Blue, Yellow	1:XOO XXX OXX=Green
1418	348	16	2	Blue,Blue,Green,Red,Yellow	2:XOX XXX XOX=Blue	4:OXX XXO XXX=Green, Yellow	3:XXX XOX XOX=	1:OXX XXO XXO=Blue, Red
1419	348	16	3	Blue,Blue,Green,Red,Yellow	2:XOX XXX XOX=Blue	4:XOX XXX OXX=Blue	3:XXX XOO XXX=Green	1:OXX XXX XOO=Red, Yellow
1420	348	16	4	Blue,Blue,Green,Red,Yellow	2:XOX XXX XOX=Blue	4:XXX OXX XXO=Green	3:XOX XOX XXX=Yellow	1:OXX XXO XXO=Blue, Red
1421	348	16	5	Blue,Blue,Green,Red,Yellow	2:XOX XXX XOX=Blue	4:XXX XXO OXX=Blue, Yellow	3:XXX XOO XXX=Green	1:OOX XXX XXO=Red
1422	348	16	6	Blue,Blue,Green,Red,Yellow	3:XXX XOO XXX=Green, Red	1:XOO XXX OXX=Blue, Blue	2:XOX XXX XOX=Yellow	4:XXO OXX XXX=
1423	348	16	7	Blue,Blue,Green,Red,Yellow	3:XOX XOX XXX=Green	1:XOO XXX OXX=Blue, Blue	2:XOX XXX XOX=Yellow	4:XXX OXX XXO=Red
1424	348	16	8	Blue,Blue,Green,Red,Yellow	3:XOX XOX XXX=Green	1:XOO XXX OXX=Blue, Blue	4:XXO XXX XOX=Red	2:XOX XXX XOX=Yellow
1425	348	16	9	Blue,Blue,Green,Red,Yellow	3:XXX XOX XOX=Blue, Green	2:XXX OXO XXX=Yellow	1:XXO XXX OOX=Blue, Red	4:XXO OXX XXX=
1426	348	16	10	Blue,Blue,Green,Red,Yellow	3:XOX XOX XXX=Green	2:XXX OXO XXX=Yellow	1:XXO XXX OOX=Blue, Red	4:OXX XXO XXX=Blue
1427	348	16	11	Blue,Blue,Green,Red,Yellow	3:XOX XOX XXX=Green	4:XOX XXX OXX=Blue	1:XXO XXX OOX=Blue, Red	2:XOX XXX XOX=Yellow
1428	348	16	12	Blue,Blue,Green,Red,Yellow	3:XXX XOX XOX=Blue, Green	4:XOX XXX OXX=Blue	2:XOX XXX XOX=Yellow	1:OOX XXX XXO=Red
1429	348	16	13	Blue,Blue,Green,Red,Yellow	3:XOX XOX XXX=Green	4:XOX XXX OXX=Blue	2:XOX XXX XOX=Yellow	1:OXX XXO XXO=Blue, Red
1430	348	16	14	Blue,Blue,Green,Red,Yellow	4:XXO XXX XOX=Blue, Blue	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	1:OOX XXX XXO=Red
1431	348	16	15	Blue,Blue,Green,Red,Yellow	4:XXO OXX XXX=Blue, Red	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	1:XXO XXO OXX=Blue, Green
1432	348	16	16	Blue,Blue,Green,Red,Yellow	4:XXO XXX XOX=Blue, Blue	3:XOX XOX XXX=Red	2:XOX XXX XOX=Yellow	1:XOO XXX OXX=Green
1433	349	16	1	Blue,Blue,Green,White,Yellow	1:XOO XXX OXX=Blue, White	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XXX XXO OXX=Blue, Green
1434	349	16	2	Blue,Blue,Green,White,Yellow	1:XOO XXX OXX=Blue, White	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	4:OXX XXO XXX=Blue
1435	349	16	3	Blue,Blue,Green,White,Yellow	1:XXO XXX OOX=Blue, Blue, White	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XOX XXX OXX=Green
1436	349	16	4	Blue,Blue,Green,White,Yellow	1:XXO XXX OOX=Blue, Blue, White	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	4:XXO OXX XXX=
1437	349	16	5	Blue,Blue,Green,White,Yellow	1:XOO XXX OXX=Blue, White	4:OXX XXO XXX=Green, Yellow	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
1438	349	16	6	Blue,Blue,Green,White,Yellow	1:XOO XXX OXX=Blue, White	4:XOX XXX OXX=Blue	3:XXX XOO XXX=Green	2:XOX XXX XOX=Yellow
1439	349	16	7	Blue,Blue,Green,White,Yellow	1:XOO XXX OXX=Blue, White	4:XXX OXX XXO=Green	3:XOX XOX XXX=Yellow	2:XXX OXO XXX=Blue
1440	349	16	8	Blue,Blue,Green,White,Yellow	1:XXO XXX OOX=Blue, Blue, White	4:XXX OXX XXO=Green	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
1441	349	16	9	Blue,Blue,Green,White,Yellow	2:XOX XXX XOX=Blue	4:XXO XXX XOX=Blue, White	3:XXX XOX XOX=	1:XXO XXX OOX=Green, Yellow
1442	349	16	10	Blue,Blue,Green,White,Yellow	2:XOX XXX XOX=Blue	4:XXO XXX XOX=Blue, White	3:XOX XOX XXX=Yellow	1:XOO XXX OXX=Green
1443	349	16	11	Blue,Blue,Green,White,Yellow	3:XOX XOX XXX=Green	1:XXO XXX OOX=Blue, Blue, White	2:XOX XXX XOX=Yellow	4:XXO OXX XXX=
1444	349	16	12	Blue,Blue,Green,White,Yellow	3:XOX XOX XXX=Green	1:XOO XXX OXX=Blue, Blue	4:OXX XXX XOX=White	2:XOX XXX XOX=Yellow
1445	349	16	13	Blue,Blue,Green,White,Yellow	4:XOX XXX OXX=White	1:XOO XXX OXX=Blue, Blue	3:XXX XOO XXX=Green	2:XOX XXX XOX=Yellow
1446	349	16	14	Blue,Blue,Green,White,Yellow	4:OXX XXX XOX=Blue, Yellow	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:XXO XXO OXX=Blue, Green
1447	349	16	15	Blue,Blue,Green,White,Yellow	4:XXO XXX XOX=Blue, Blue	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:XXO XXX OOX=Green, Yellow
1448	349	16	16	Blue,Blue,Green,White,Yellow	4:XXO XXX XOX=Blue, Blue	2:XOX XXX XOX=White	3:XOX XOX XXX=Yellow	1:XOO XXX OXX=Green
1449	350	16	1	Blue,Blue,Red,White,Yellow	1:XXO OXX OXX=Blue, Red, White	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:OXX XXO XXX=Blue
1450	350	16	2	Blue,Blue,Red,White,Yellow	1:XXO XXX OOX=Blue, Blue, White	2:XXX OXO XXX=Yellow	3:XXX XOX XOX=	4:XXX OXX XXO=Red
1451	350	16	3	Blue,Blue,Red,White,Yellow	1:XOO XXX OXX=Blue, White	3:XOX XOX XXX=Red	2:XOX XXX XOX=Yellow	4:OXX XXO XXX=Blue
1452	350	16	4	Blue,Blue,Red,White,Yellow	1:XXO XXX OOX=Blue, Blue, White	3:XOX XOX XXX=Red	2:XOX XXX XOX=Yellow	4:XXO OXX XXX=
1453	350	16	5	Blue,Blue,Red,White,Yellow	1:XXO OXX OXX=Blue, Red, White	4:XOX XXX OXX=Blue	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
1454	350	16	6	Blue,Blue,Red,White,Yellow	2:XOX XXX XOX=Blue	4:XXO XXX XOX=Blue, White	3:XXX XOX XOX=	1:OXX XXX XOO=Red, Yellow
1455	350	16	7	Blue,Blue,Red,White,Yellow	2:XOX XXX XOX=Blue	4:XXO XXX XOX=Blue, White	3:XOX XOX XXX=Yellow	1:OOX XXX XXO=Red
1456	350	16	8	Blue,Blue,Red,White,Yellow	4:XXX XXO OXX=Red, White	1:XOO XXX OXX=Blue, Blue	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
1457	350	16	9	Blue,Blue,Red,White,Yellow	4:OXX XXX XOX=Blue, Yellow	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:OXX XXO XXO=Blue, Red
1458	350	16	10	Blue,Blue,Red,White,Yellow	4:XXO XXX XOX=Blue, Blue	2:XOX XXX XOX=White	3:XXX XOX XOX=	1:OXX XXX XOO=Red, Yellow
1459	350	16	11	Blue,Blue,Red,White,Yellow	4:XXO XXX XOX=Blue, Blue	2:XOX XXX XOX=White	3:XOX XOX XXX=Yellow	1:OOX XXX XXO=Red
1460	351	16	1	Blue,Green,Green,Red,White	1:XOO XXX OXX=Blue, White	3:XOX XOX XXX=Red	2:XXX OXO XXX=Green, Green	4:XXO OXX XXX=
1461	351	16	2	Blue,Green,Green,Red,White	2:XOX XXX XOX=Blue	1:OXX XXX XOO=Green, Green, White	3:XXX XOX XOX=	4:XXX OXX XXO=Red
1462	351	16	3	Blue,Green,Green,Red,White	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	4:XXO XXX XOX=Red	3:XOX XOX XXX=White
1463	351	16	4	Blue,Green,Green,Red,White	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	4:OXX XXO XXX=Green, White	1:XOO XXX OXX=Green
1464	351	16	5	Blue,Green,Green,Red,White	2:XOX XXX XOX=Blue	4:OXX XXX XOX=Green, White	3:XXX XOO XXX=Green	1:OOX XXX XXO=Red
1465	351	16	6	Blue,Green,Green,Red,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	1:XXO OXX OXX=Blue, Green, Red	4:XXO OXX XXX=
1466	351	16	7	Blue,Green,Green,Red,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	1:XXO XXX OOX=Blue, Red	4:XOX XXX OXX=Green
1467	351	16	8	Blue,Green,Green,Red,White	3:XXX XOX XOX=Blue, Green	2:XOX XXX XOX=White	4:XXO XXX XOX=Red	1:XOO XXX OXX=Green
1468	351	16	9	Blue,Green,Green,Red,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	4:XXO XXX XOX=Red	1:XXO XXO OXX=Blue, Green
1469	351	16	10	Blue,Green,Green,Red,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	4:XXX XXO OXX=Blue, Green	1:OOX XXX XXO=Red
1470	351	16	11	Blue,Green,Green,Red,White	4:XXX XXO OXX=Red, White	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
1471	351	16	12	Blue,Green,Green,Red,White	4:XXO OXX XXX=Blue, Red	2:XOX XXX XOX=White	3:XXX XOO XXX=Green	1:XOO XXX OXX=Green
1472	352	16	1	Blue,Green,Green,Red,Yellow	2:XOX XXX XOX=Blue	1:OOX XXX XXO=Green, Green	3:XOX XOX XXX=Yellow	4:XXX OXX XXO=Red
1473	352	16	2	Blue,Green,Green,Red,Yellow	2:XOX XXX XOX=Blue	1:OXX XXO XXO=Green, Green, Yellow	3:XXX XOX XOX=	4:XXX OXX XXO=Red
1474	352	16	3	Blue,Green,Green,Red,Yellow	2:XOX XXX XOX=Blue	4:OXX XXO XXX=Green, Yellow	3:XXX XOO XXX=Green	1:OOX XXX XXO=Red
1475	352	16	4	Blue,Green,Green,Red,Yellow	2:XOX XXX XOX=Blue	4:XXX OXX XXO=Green	3:XXX XOO XXX=Green	1:OXX XXX XOO=Red, Yellow
1476	352	16	5	Blue,Green,Green,Red,Yellow	3:XOX XOX XXX=Green	2:XXX OXO XXX=Yellow	1:XXO OXX OXX=Blue, Green, Red	4:XXO OXX XXX=
1477	352	16	6	Blue,Green,Green,Red,Yellow	3:XOX XOX XXX=Green	2:XXX OXO XXX=Yellow	1:XXO XXX OOX=Blue, Red	4:XOX XXX OXX=Green
1478	352	16	7	Blue,Green,Green,Red,Yellow	3:XXX XOX XOX=Blue, Green	2:XXX OXO XXX=Yellow	4:XXO XXX XOX=Red	1:XOO XXX OXX=Green
1479	352	16	8	Blue,Green,Green,Red,Yellow	3:XOX XOX XXX=Green	2:XXX OXO XXX=Yellow	4:XXO XXX XOX=Red	1:XXO XXO OXX=Blue, Green
1480	352	16	9	Blue,Green,Green,Red,Yellow	3:XOX XOX XXX=Green	2:XXX OXO XXX=Yellow	4:XXX XXO OXX=Blue, Green	1:OOX XXX XXO=Red
1481	352	16	10	Blue,Green,Green,Red,Yellow	3:XOX XOX XXX=Green	4:XXX OXX XXO=Green	1:XXO XXX OOX=Blue, Red	2:XOX XXX XOX=Yellow
1482	352	16	11	Blue,Green,Green,Red,Yellow	3:XXX XOX XOX=Blue, Green	4:XXX OXX XXO=Green	2:XOX XXX XOX=Yellow	1:OOX XXX XXO=Red
1483	352	16	12	Blue,Green,Green,Red,Yellow	3:XXX XOO XXX=Green, Red	4:XOX XXX OXX=Blue	2:XOX XXX XOX=Yellow	1:XOO XXX OXX=Green
1484	352	16	13	Blue,Green,Green,Red,Yellow	3:XOX XOX XXX=Green	4:XXX OXX XXO=Green	2:XOX XXX XOX=Yellow	1:OXX XXO XXO=Blue, Red
1485	352	16	14	Blue,Green,Green,Red,Yellow	4:OXX XXO XXX=Red, Yellow	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
1486	352	16	15	Blue,Green,Green,Red,Yellow	4:XXO OXX XXX=Blue, Red	1:OOX XXX XXO=Green, Green	3:XXX XOX XOX=	2:XOX XXX XOX=Yellow
1487	352	16	16	Blue,Green,Green,Red,Yellow	4:XXO OXX XXX=Blue, Red	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	1:XOO XXX OXX=Green
1488	353	16	1	Blue,Green,Green,White,Yellow	1:XOO XXX OXX=Blue, White	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	4:XOX XXX OXX=Green
1489	353	16	2	Blue,Green,Green,White,Yellow	1:XOO XXX OXX=Blue, White	4:XXX OXX XXO=Green	3:XXX XOO XXX=Green	2:XOX XXX XOX=Yellow
1490	353	16	3	Blue,Green,Green,White,Yellow	2:XOX XXX XOX=Blue	1:OXX XXX XOO=Green, Green, White	3:XXX XOX XOX=	4:OXX XXX XOX=Yellow
1491	353	16	4	Blue,Green,Green,White,Yellow	2:XOX XXX XOX=Blue	1:OXX XXX XOO=Green, Green, White	3:XOX XOX XXX=Yellow	4:XXO OXX XXX=
1492	353	16	5	Blue,Green,Green,White,Yellow	2:XOX XXX XOX=Blue	4:OXX XXX XOX=Green, White	3:XXX XOX XOX=	1:XXO XXX OOX=Green, Yellow
1493	353	16	6	Blue,Green,Green,White,Yellow	2:XOX XXX XOX=Blue	4:OXX XXX XOX=Green, White	3:XOX XOX XXX=Yellow	1:XOO XXX OXX=Green
1494	353	16	7	Blue,Green,Green,White,Yellow	3:XXX XOX XOX=Blue, Green	2:XXX OXO XXX=Yellow	4:OXX XXX XOX=White	1:XOO XXX OXX=Green
1495	353	16	8	Blue,Green,Green,White,Yellow	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	4:XOX XXX OXX=Blue, Yellow	1:XOO XXX OXX=Green
1496	353	16	9	Blue,Green,Green,White,Yellow	3:XOX XOX XXX=Green	2:XXX OXO XXX=Yellow	4:OXX XXX XOX=White	1:XXO XXO OXX=Blue, Green
1497	353	16	10	Blue,Green,Green,White,Yellow	3:XOX XOX XXX=Green	4:XXO XXX XOX=Blue, White	2:XOX XXX XOX=Yellow	1:XOO XXX OXX=Green
1498	353	16	11	Blue,Green,Green,White,Yellow	4:XOX XXX OXX=White	1:OOX XXX XXO=Green, Green	3:XOX XOX XXX=Yellow	2:XXX OXO XXX=Blue
1499	353	16	12	Blue,Green,Green,White,Yellow	4:XOX XXX OXX=White	1:OXX XXO XXO=Green, Green, Yellow	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
1500	353	16	13	Blue,Green,Green,White,Yellow	4:XOX XXX XXO=Yellow	1:OXX XXX XOO=Green, Green, White	3:XXX XOX XOX=	2:XXX OXO XXX=Blue
1501	353	16	14	Blue,Green,Green,White,Yellow	4:OXX XXX XOX=Blue, Yellow	2:XOX XXX XOX=White	3:XXX XOO XXX=Green	1:XOO XXX OXX=Green
1502	353	16	15	Blue,Green,Green,White,Yellow	4:XOX XXX OXX=White	2:XXX OXO XXX=Yellow	3:XXX XOO XXX=Green	1:XXO XXO OXX=Blue, Green
1503	353	16	16	Blue,Green,Green,White,Yellow	4:XOX XXX XXO=Yellow	2:XOX XXX XOX=White	3:XXX XOO XXX=Green	1:XXO XXO OXX=Blue, Green
1504	354	16	1	Blue,Green,Red,Red,White	2:XOX XXX XOX=Blue	3:XXX XOX XOX=Red, White	4:XXO XXX XOX=Red	1:XOO XXX OXX=Green
1505	354	16	2	Blue,Green,Red,Red,White	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	4:OXX XXO XXX=Green, White	1:OOX XXX XXO=Red
1506	354	16	3	Blue,Green,Red,Red,White	2:XXX OXO XXX=Red, Red	4:XXO XXX XOX=Blue, White	3:XXX XOX XOX=	1:XOO XXX OXX=Green
1507	354	16	4	Blue,Green,Red,Red,White	3:XXX XOO XXX=Green, Red	2:XOX XXX XOX=White	1:XXO XXX OOX=Blue, Red	4:XXO OXX XXX=
1508	354	16	5	Blue,Green,Red,Red,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	1:XXO XXX OOX=Blue, Red	4:XXX OXX XXO=Red
1509	354	16	6	Blue,Green,Red,Red,White	3:XXX XOX XOX=Blue, Green	2:XOX XXX XOX=White	4:XXO XXX XOX=Red	1:OOX XXX XXO=Red
1510	354	16	7	Blue,Green,Red,Red,White	3:XOX XOX XXX=Green	2:XOX XXX XOX=White	4:XXO XXX XOX=Red	1:OXX XXO XXO=Blue, Red
1511	354	16	8	Blue,Green,Red,Red,White	4:XXO OXX XXX=Blue, Red	2:XOX XXX XOX=White	3:XXX XOO XXX=Green	1:OOX XXX XXO=Red
1512	355	16	1	Blue,Green,Red,Red,Yellow	2:XOX XXX XOX=Blue	3:XXX XOO XXX=Red, Yellow	4:XXO XXX XOX=Red	1:XOO XXX OXX=Green
1513	355	16	2	Blue,Green,Red,Red,Yellow	2:XOX XXX XOX=Blue	3:XOX XOX XXX=Red	4:XXO XXX XOX=Red	1:XXO XXX OOX=Green, Yellow
